,Symbol,group
0,BBY,2
1,SNA,1
2,RCL,1
3,EXPE,8
4,TRIP,8
5,FOXA,1
6,AZO,0
7,PHM,1
8,UAA,0
9,F,1
10,GRMN,1
11,SWK,1
12,OMC,1
13,SBUX,0
14,BKNG,0
15,CHTR,4
16,CMCSA,9
17,TPR,2
18,DIS,1
19,CCL,1
20,DHI,1
21,DISCA,8
22,DISH,0
23,MAT,1
24,TSCO,7
25,BWA,1
26,GM,1
27,APTV,1
28,CMG,0
29,IPG,9
30,LOW,7
31,LKQ,0
32,GPC,2
33,MHK,1
34,WHR,1
35,AAP,2
36,MGM,1
37,LEG,1
38,LEN,1
39,NWL,0
40,M,0
41,AMZN,0
42,GT,1
43,JWN,1
44,ORLY,0
45,HBI,0
46,MCD,1
47,HD,0
48,HAS,1
49,NCLH,1
50,KO,1
51,COST,0
52,CL,2
53,CLX,0
54,CVS,0
55,PEP,1
56,CHD,1
57,PM,1
58,HRL,0
59,PG,1
60,EL,2
61,SYY,2
62,MDLZ,1
63,K,0
64,KMB,1
65,MNST,0
66,TAP,1
67,MKC,0
68,CPB,0
69,MO,1
70,WBA,2
71,WMT,0
72,TSN,0
73,HSY,0
74,ADM,0
75,SLB,1
76,WMB,1
77,KMI,1
78,EOG,1
79,CVX,1
80,NOV,1
81,OXY,1
82,APC,1
83,HAL,1
84,HP,1
85,HES,1
86,NBL,1
87,PSX,5
88,CXO,4
89,XEC,1
90,MRO,1
91,COP,1
92,BEN,1
93,PBCT,3
94,ALL,9
95,TRV,9
96,CMA,3
97,AJG,9
98,FITB,3
99,USB,3
100,JPM,3
101,CB,9
102,MTB,3
103,AON,9
104,AXP,9
105,AIG,3
106,UNM,9
107,NTRS,3
108,CINF,9
109,SCHW,3
110,BK,3
111,ICE,4
112,HIG,9
113,ZION,3
114,C,3
115,NAVI,3
116,CME,4
117,MMC,9
118,NDAQ,9
119,BAC,3
120,AMG,9
121,DFS,3
122,BBT,3
123,ETFC,3
124,CBOE,0
125,SPGI,1
126,STI,3
127,BRK.B,1
128,STT,3
129,SIVB,3
130,TROW,1
131,RE,9
132,KEY,3
133,RJF,3
134,HBAN,3
135,MET,3
136,COF,3
137,RF,3
138,WFC,3
139,LLY,8
140,MTD,1
141,ILMN,1
142,IDXX,0
143,VAR,1
144,INCY,9
145,VRTX,9
146,AGN,1
147,ABT,1
148,ALXN,8
149,JNJ,8
150,NKTR,1
151,LH,1
152,ISRG,8
153,A,1
154,ALGN,8
155,ZTS,0
156,PKI,1
157,PRGO,1
158,SYK,8
159,DGX,1
160,BDX,1
161,BAX,1
162,HUM,0
163,RMD,8
164,EW,8
165,BSX,1
166,REGN,1
167,DHR,1
168,DVA,1
169,CI,9
170,HOLX,1
171,UHS,1
172,HSIC,0
173,HCA,0
174,CAH,0
175,ABC,0
176,COO,1
177,AMGN,1
178,CNC,0
179,GILD,8
180,UNH,0
181,ANTM,0
182,CERN,1
183,BIIB,8
184,XYL,1
185,TXT,1
186,TDG,1
187,LUV,1
188,NLSN,9
189,COL,1
190,NSC,1
191,NOC,1
192,VRSK,0
193,UTX,1
194,URI,1
195,UPS,1
196,PCAR,1
197,ROP,1
198,PH,1
199,UNP,1
200,PWR,1
201,RTN,1
202,WM,1
203,RSG,1
204,RHI,2
205,ROK,1
206,UAL,1
207,PNR,0
208,MMM,1
209,MAS,1
210,FBHS,0
211,CSX,1
212,IR,1
213,ITW,1
214,INFO,9
215,HII,5
216,HON,1
217,BA,1
218,FLS,1
219,GWW,2
220,FLR,0
221,CAT,1
222,GD,1
223,EFX,9
224,CMI,1
225,AME,1
226,DAL,1
227,LLL,1
228,DE,1
229,AYI,1
230,KSU,1
231,LMT,1
232,EXPD,0
233,ALK,1
234,EMR,1
235,JCI,0
236,JEC,0
237,JBHT,0
238,FAST,2
239,DOV,1
240,AOS,1
241,ETN,1
242,CTSH,0
243,GLW,1
244,MA,0
245,STX,1
246,SNPS,8
247,SWKS,1
248,EBAY,8
249,TEL,1
250,TSS,1
251,CTXS,8
252,ACN,0
253,ATVI,1
254,XRX,1
255,ADBE,8
256,AMD,0
257,AKAM,8
258,WU,9
259,WDC,1
260,ADS,9
261,V,9
262,VRSN,9
263,APH,1
264,ADI,8
265,AAPL,1
266,AMAT,1
267,ADP,9
268,AVGO,1
269,CDNS,8
270,CSCO,1
271,TXN,0
272,GPN,1
273,IBM,1
274,INTC,8
275,FB,8
276,HPQ,1
277,HRS,1
278,NVDA,1
279,FIS,9
280,FISV,9
281,IT,0
282,FLIR,1
283,INTU,8
284,IPGP,1
285,NFLX,7
286,FFIV,8
287,LRCX,1
288,MU,1
289,MSFT,8
290,QCOM,1
291,KLAC,1
292,MSI,1
293,JNPR,1
294,WRK,0
295,LYB,0
296,IP,1
297,CF,1
298,MOS,1
299,NUE,1
300,VMC,1
301,BLL,0
302,AVY,0
303,APD,1
304,NEM,1
305,FCX,1
306,ECL,2
307,DWDP,1
308,SHW,0
309,PPG,1
310,SEE,1
311,FMC,1
312,EQR,6
313,SLG,9
314,SPG,9
315,WY,1
316,KIM,4
317,VTR,4
318,PLD,4
319,VNO,9
320,SBAC,4
321,IRM,9
322,DRE,4
323,ARE,4
324,HST,9
325,O,4
326,ESS,4
327,DLR,4
328,CCI,4
329,REG,4
330,BXP,9
331,FRT,4
332,AVB,6
333,HCP,9
334,UDR,4
335,EQIX,9
336,MAC,9
337,T,1
338,VZ,1
339,AES,1
340,EXC,1
341,XEL,1
342,ETR,1
343,EIX,1
344,ES,1
345,WEC,1
346,CMS,1
347,ED,1
348,PNW,1
349,FE,1
350,CNP,1
351,PPL,1
352,SO,1
353,DTE,1
354,NI,1
355,NEE,1
356,AWK,1
357,SRE,1
358,AEE,1
359,DUK,1
360,LNT,1
361,AEP,1
